Pitch,Time,TDRDF1,TDRDF2,TDRDF3,TDRDF4
3.2,16.65,114.4967694,114.08965,114.6320166,114.3564732
3.2,16.7,114.7962231,114.5924699,114.9156558,114.7448503
3.2,16.75,115.2559495,114.8566876,115.3741865,115.0616668
3.2,16.8,115.5824359,115.1242795,115.6988081,115.310882
3.2,16.85,115.7536063,115.3205029,115.9460703,115.5683226
3.2,16.9,115.8706735,115.4079396,116.1777547,115.8363616
3.2,16.95,115.9957983,115.4910588,116.3141863,115.902775
3.2,17,116.166649,115.6668385,116.204349,115.8155632
3.2,17.05,116.1450076,115.5416052,116.3624134,115.8465918
3.2,17.1,115.9855678,115.4842004,116.1323571,115.7141258
3.2,17.15,115.8349567,115.293526,116.1501853,115.6116463
3.2,17.2,115.6238223,115.0738004,115.9350169,115.3808177
3.2,17.25,115.4975911,114.8252352,115.6641253,115.1889403
3.2,17.3,115.0834839,114.5149311,115.3700568,114.8840207
3.2,17.35,114.7778665,114.1351096,115.0303123,114.6039097
3.2,17.4,114.4209484,113.669521,114.6576649,114.1003115
3.2,17.45,113.8900674,113.1628215,114.0155073,113.6333047
3.2,17.5,113.4067806,112.8090878,113.6660065,113.0745588
3.2,17.55,112.7991046,112.0415261,112.9277651,112.4382108
3.2,17.6,112.1762271,111.5351472,112.385003,111.8659952
3.2,17.65,111.5019289,110.8239461,111.5996411,111.2375255
3.2,17.7,110.6059171,110.2016393,110.9334662,110.4749747
3.2,17.75,109.8638399,109.3979076,110.1360199,109.6200198
3.2,17.8,109.0994978,108.4803649,109.3992788,108.9584476
3.2,17.85,108.2236687,107.7213443,108.5844317,108.0954094
3.2,17.9,107.321519,106.8544298,107.7096307,107.1520563
3.2,17.95,106.5277855,106.0938672,106.655167,106.2806663
3.2,18,105.6435713,105.0000213,105.91155,105.252264
3.2,18.05,104.5584944,104.2129953,104.9137987,104.3628013
3.2,18.1,103.6089211,103.2088228,103.7958818,103.4178237
3.2,18.15,102.6760887,102.199949,102.7877015,102.4698082
3.2,18.2,101.6716959,101.3129962,101.8948881,101.5365007
3.2,18.25,100.549768,100.3250922,100.884318,100.5043102
3.2,18.3,99.70473621,99.26852708,99.83980469,99.49628311
3.2,18.35,98.58047841,98.30980533,98.69135,98.37722554
3.2,18.4,97.61782383,97.31305704,97.78566011,97.39192715
3.2,18.45,96.55388239,96.36359243,96.71247695,96.53962956
3.2,18.5,95.4970339,95.38897842,95.64272805,95.39483574
3.2,18.55,94.65508166,94.35696815,94.74698458,94.40872964
3.2,18.6,93.51898951,93.37501257,93.63406067,93.48979515
3.2,18.65,92.64499017,92.49718705,92.72378721,92.5679021
3.2,18.7,91.65397351,91.62883383,91.8041748,91.6244825
3.2,18.75,90.87362668,90.72082192,90.79136031,90.68110026
3.2,18.8,90.03297171,89.85426781,89.90330213,89.88100203
3.2,18.85,89.08590912,89.14086529,89.20228582,89.07929932
3.2,18.9,88.29019303,88.279533,88.37345496,88.33274079
3.2,18.95,87.57426747,87.57333075,87.53730532,87.57228341
3.2,19,86.81947804,86.99388695,86.86631633,86.82990331
3.2,19.05,86.02864767,86.24680667,86.12745165,86.12491708
3.2,19.1,85.50592889,85.63048385,85.46867645,85.51416872
3.2,19.15,84.92298355,85.08623007,84.85808931,85.065618
3.2,19.2,84.35936239,84.61047505,84.22946906,84.41361293
3.2,19.25,83.81831832,84.1180902,83.79526481,83.90922205
3.2,19.3,83.52071626,83.75024098,83.34470272,83.64557986
3.2,19.35,83.03243798,83.51775515,83.04800133,83.16059686
3.2,19.4,82.8138664,83.16860655,82.62464543,82.85542097
3.2,19.45,82.56573864,82.90067873,82.27104464,82.59362845
3.2,19.5,82.24160413,82.6680664,82.14404628,82.55642795
3.2,19.55,82.24031314,82.72855351,82.08768001,82.38761747
3.2,19.6,82.0845658,82.67315547,81.95412918,82.3899609
3.2,19.65,82.02676312,82.6803183,81.95382054,82.25533982
3.2,19.7,82.15511694,82.62549783,81.94835959,82.38945033
3.2,19.75,82.33949559,82.73821823,82.14046595,82.4603419
3.2,19.8,82.424609,83.00972804,82.24698043,82.56797742
3.2,19.85,82.68035048,83.31339249,82.44532597,82.83236549
3.2,19.9,83.0127113,83.43400636,82.76307621,83.1324896
3.2,19.95,83.22205462,83.92689243,82.98499341,83.52667173
3.2,20,83.77296497,84.34546819,83.49112001,83.8999896
3.2,20.05,84.23255846,84.75440028,83.81126718,84.50362178
3.2,20.1,84.69122192,85.2225118,84.51387384,85.00947161
3.2,20.15,85.24976238,85.8106405,85.04941584,85.53796151
3.2,20.2,85.83576044,86.36581141,85.64206505,86.21082055
3.2,20.25,86.59008041,87.10759028,86.19831364,86.70226493
3.2,20.3,87.2527731,87.78744882,87.01098726,87.40681514
3.2,20.35,87.89594786,88.57476783,87.75407633,88.1459528
3.2,20.4,88.8223919,89.26731051,88.47723867,89.0308853
3.2,20.45,89.64460615,90.12639498,89.42729866,89.84088558
3.2,20.5,90.40286394,90.96825168,90.14600261,90.78109466
3.2,20.55,91.4167715,91.93600906,91.19210202,91.65802012
3.2,20.6,92.25895716,92.75245967,91.96400868,92.58530257
3.2,20.65,93.18821351,93.61167689,93.02141443,93.43893338
3.2,20.7,94.25082445,94.56255842,93.92562672,94.34458214
3.2,20.75,95.10456303,95.62250478,94.98132929,95.33369177
3.2,20.8,96.24767389,96.57950976,95.94010495,96.4583342
3.2,20.85,97.14018758,97.51843223,96.94774886,97.28574635
3.2,20.9,98.11359862,98.46813805,98.11805578,98.45736785
3.2,20.95,99.2516925,99.60975733,99.00616594,99.48905023
3.2,21,100.3183487,100.508608,100.1668335,100.4083674
3.2,21.05,101.2071299,101.5705078,101.1513492,101.3468403
3.2,21.1,102.271846,102.5925238,102.0899755,102.3681109
3.2,21.15,103.3105505,103.4313069,103.1344752,103.2905392
3.2,21.2,104.2266381,104.3552167,104.2085553,104.2876476
3.2,21.25,105.1209693,105.4040789,105.1431189,105.3266783
3.2,21.3,106.0866747,106.2066,106.0459181,106.2401067
